,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
1549,điện thoại 0PP0 A83 ram 6G rom 128G 2sim zin đẹp,729000,1400000,Vietnam,BATTU SHOP,No Brand,4,4.931034482758621,https://www.lazada.vn/products/dien-thoai-0pp0-a83-ram-6g-rom-128g-2sim-zin-dep-i2827751534.html,['Voucher save 48%'],"[4402, 4518]"
1550,điện thoại 0PP0 F5 ram 6G rom 128G 2sim zin đẹp,739000,1400000,Vietnam,BATTU SHOP,No Brand,3,4.975460122699387,https://www.lazada.vn/products/dien-thoai-0pp0-f5-ram-6g-rom-128g-2sim-zin-dep-i2827748542.html,['Voucher save 47%'],"[4402, 4518]"
1551,Samsung A06 (4GB/128GB) original Samsung Vietnam New 100% seal,3190000,3490000,Vietnam,Điện máy kho Thế Sơn,Samsung,2,,https://www.lazada.vn/products/dien-thoai-samsung-a06-4gb128gb-chinh-hang-samsung-viet-nam-moi-100-nguyen-seal-i2827194039.html,['Voucher save 9%'],"[4402, 4518]"
1552,đt giá rẻ cho học sinh bản Quốc tế điện thoại giá siêu rẻ 6.7inch Điện thoại di động Chính Hãng đien thoại giá rẻ nhất CPU Siêu dt giá rẻ,1104828,2045978,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/dt-gia-recho-hoc-sinh-ban-quoc-te-dien-thoai-gia-sieu-re-67inch-dien-thoai-di-dong-chinh-hang-dien-thoai-gia-renhat-cpu-sieu-dt-gia-re-i2827047381.html,['Voucher save 46%'],"[4402, 4518]"
1553,Điện thoại phổ thông bản Quốc tế đt giá rẻ cho học sinh Mạng 4G Điện thoại di động Android điên thoại Thẻ 2 sim điện thoại,1110014,2055581,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/dien-thoai-phothong-ban-quoc-te-dt-gia-recho-hoc-sinh-mang-4g-dien-thoai-di-dong-android-dien-thoai-the2-sim-dien-thoai-i2827035380.html,['Voucher save 46%'],"[4402, 4518]"
1554,"Điện thoại Xiaomi Redmi 9C ( Màn hình 6,53 inch , Ram 3/64 , Android 10 , Pin 5050mah )",1000000,1000000,Vietnam,Baomobile93,No Brand,0,,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-9c-man-hinh-653-inch-ram-364-android-10-pin-5050mah-i2827021962.html,[],"[4402, 4518]"
1555,đt giá rẻ cho học sinh 6.7inch đien thoại giá rẻ nhất Pin Lớn 5600mAh điện thoại giá siêu rẻ Chính Hãng điện thoại rẻ cho học sinh Android điên thoại,1015541,1880631,Vietnam,Asro2g161,No Brand,4,5.0,https://www.lazada.vn/products/dt-gia-recho-hoc-sinh-67inch-dien-thoai-gia-renhat-pin-lon-5600mah-dien-thoai-gia-sieu-re-chinh-hang-dien-thoai-recho-hoc-sinh-android-dien-thoai-i2827020376.html,['Voucher save 46%'],"[4402, 4518]"
1556,S23 Ultra Thẻ 2 sim điện thoại giá rẻ Camera 50+32MP điện thoại rẻ Bộ nhớ 16+512GB Điện thoại phổ thông Pin Lớn 6000mAh điện thoại rẻ cho học sinh,1192348,2208052,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/s23-ultra-the2-sim-dien-thoai-gia-re-camera-5032mp-dien-thoai-re-bo-nho-16512gb-dien-thoai-phothong-pin-lon-6000mah-dien-thoai-recho-hoc-sinh-i2826951431.html,['Voucher save 46%'],"[4402, 4518]"
1557,đien thoại giá rẻ nhất CPU Siêu điện thoại rẻ 6.7inch Điện thoại phổ thông bản Quốc tế đt giá rẻ cho học sinh Mạng 4G Điện thoại di động,1106132,2048393,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/dien-thoai-gia-renhat-cpu-sieu-dien-thoai-re-67inch-dien-thoai-phothong-ban-quoc-te-dt-gia-recho-hoc-sinh-mang-4g-dien-thoai-di-dong-i2826934581.html,['Voucher save 46%'],"[4402, 4518]"
1558,Điện thoại phổ thông Pin Lớn 6000mAh điện thoại Mạng 4G điện thoại rẻ Bộ nhớ 16+512GB điên thoại Mới 100% điện thoại giá rẻ,1015955,1881398,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/dien-thoai-phothong-pin-lon-6000mah-dien-thoai-mang-4g-dien-thoai-re-bo-nho-16512gb-dien-thoai-moi-100-dien-thoai-gia-re-i2826927445.html,['Voucher save 46%'],"[4402, 4518]"
