,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
307,MNIEV FreeShipping FDC10U12S9-C FDC10H12S9C taille 87mm 3 trous Pour ASUS ROG STRIX RTX 2070 O8G GAMING Carte Graphique Ventilateur De Refroidissement OUIVQ,122887,138000,China,Negate75kyuk9uyrft,No Brand,4,,https://www.lazada.vn/products/mniev-freeshipping-fdc10u12s9-c-fdc10h12s9c-taille-87mm-3-trous-do-asus-rog-strix-rtx-2070-o8g-choi-game-carte-graphique-thong-gio-nghiep-du-de-refroidissement-ouivq-i2645430047.html,['Voucher save 11%'],"[4401, 4414, 6191]"
308,LAPTOP GAMING ASUS GL502VM CORE I7 7700HQ RAM 16G SSD 512G+1T 15.6INCH FHD VGA GTX 1060 6G,9500000,15500000,Vietnam,Laptop Cường Thịnh,ASUS,0,,https://www.lazada.vn/products/laptop-gaming-asus-gl502vm-core-i7-7700hq-ram-16g-ssd-512g1t-156inch-fhd-vga-gtx-1060-6g-i2645253058.html,['Voucher save 39%'],"[4401, 4414, 6191]"
309,LAPTOP ACER A315 CORE I5 1035G1 RAM 8G SSD 512G 15.6INCH FHD TRÀN VIỀN,6600000,12800000,Vietnam,Laptop Cường Thịnh,ACER,0,,https://www.lazada.vn/products/laptop-acer-a315-core-i5-1035g1-ram-8g-ssd-512g-156inch-fhd-tran-vien-i2645044616.html,['Voucher save 48%'],"[4401, 4414, 6191]"
310,ABCIE Neue für GIGABYTE GeForce RTX 3080 Ti RTX 3090 Vision OC 3X GV-N308TVISION GV-N3090VISION GPU Grafikkarte Lüfter HIJKQ,119887,135000,China,EYUY MALL,No Brand,4,,https://www.lazada.vn/products/abcie-neue-fr-gigabyte-geforce-rtx-3080-ti-rtx-3090-tam-nhin-oc-3x-gv-n308tvision-gv-n3090vision-gpu-grafikkarte-lfter-hijkq-i2645027456.html,['Voucher save 11%'],"[4401, 4414, 6191]"
311,LAPTOP ASUS VIVOBOOK X509FJ CORE I7 8565U RAM 8G SSD 512G 15.6INCH FHD VGA MX130,6900000,11900000,Vietnam,Laptop Cường Thịnh,ASUS,1,,https://www.lazada.vn/products/laptop-asus-vivobook-x509fj-core-i7-8565u-ram-8g-ssd-512g-156inch-fhd-vga-mx130-i2644397796.html,['Voucher save 42%'],"[4401, 4414, 6191]"
312,RAZER BLADE 15 2022 I7 12800H RAM 32GB SSD 1TB RTX 3080Ti 16GB 15INCH QHD 240Hz GIÁ RẺ,41000000,41000000,Vietnam,LAPTOP LIKE NEW 2022,Razer,0,,https://www.lazada.vn/products/razer-blade-15-2022-i7-12800h-ram-32gb-ssd-1tb-rtx-3080ti-16gb-15inch-qhd-240hz-gia-re-i2644029370.html,[],"[4401, 4414, 6191]"
313,"Lenovo GeekPro G5000 Laptop, Ryzen 7-7840H, 16GB Ram, 512GB SSD, RTX 4060, 15.6inch 2.5k 165hz, free wireless mouse, mouse pad, high-end laptop bag",29000000,31000000,Vietnam,Laptop.Hadong,Lenovo,1,,https://www.lazada.vn/products/laptop-lenovo-geekpro-g5000-ryzen-7-7840h-ram-16gb-ssd-512gb-rtx-4060-156inch-25k-165hz-tang-kem-chuot-khong-day-lot-chuotcap-laptop-cao-cap-i2641283771.html,['Voucher save 6%'],"[4401, 4414, 6191]"
314,"Dell G7 7700 Laptop, Core i7 10750H, 16GB Ram, 1TB SSD, RTX 2070 8G, RGB Led, 17.3inch FHD 300Hz, comes with a premium gift set",21500000,23500000,Vietnam,Laptop.Hadong,Dell,2,,https://www.lazada.vn/products/laptop-dell-g7-7700-core-i7-10750h-ram-16gb-ssd-1tb-rtx-2070-8g-led-rgb-173inch-fhd-300hz-tang-kem-bo-qua-tang-cao-cap-i2641121066.html,['Voucher save 9%'],"[4401, 4414, 6191]"
315,"Dell G7 7590 Gaming Laptop, Core i7 9750H, 16GB Ram, 512GB SSD, 15.6inch FHD, VGA RTX 2060, comes with a premium gift set",16500000,18500000,Vietnam,Laptop.Hadong,Dell,1,,https://www.lazada.vn/products/laptop-gaming-dell-g7-7590-core-i7-9750h-ram-16gb-ssd-512gb-156inch-fhd-vga-rtx-2060-tang-kem-bo-qua-tang-cao-cap-i2640717394.html,['Voucher save 11%'],"[4401, 4414, 6191]"
316,Laptop Macbook Air 13.6 inch M3 8GB/256GB | 8GB/512GB | 16GB/512GB SSD [FUTUREWORLD-AAR],29140000,29140000,Vietnam,Futureworld - Apple Authorised Reseller,Apple,12,,https://www.lazada.vn/products/laptop-macbook-air-136-inch-m3-8gb256gb-8gb512gb-16gb512gb-ssd-futureworld-aar-i2640626143.html,[],"[4401, 4414, 6191]"
